16:35:40.846 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:41.067 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:41.286 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:41.504 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:41.723 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:41.943 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:42.163 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:42.381 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:42.585 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:42.805 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:43.025 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:43.245 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:43.464 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:43.680 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:43.898 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:44.118 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:44.351 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:44.583 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:44.801 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:45.019 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:45.238 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:45.455 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:45.674 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:45.892 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:46.111 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:46.329 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:46.546 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:46.767 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:46.986 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:47.203 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:47.423 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:47.642 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:47.860 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:48.078 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:48.297 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:48.514 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:48.731 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:48.949 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:49.165 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:49.383 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:49.603 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:49.821 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:50.038 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:50.272 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:50.507 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:50.726 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:50.945 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:51.166 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:51.385 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:51.602 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:51.820 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:52.051 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:52.270 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:52.488 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:52.707 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:52.926 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:53.144 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:53.361 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:53.581 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:53.799 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:54.016 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:54.234 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:54.453 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:54.672 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:54.890 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:55.109 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:55.328 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:55.546 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:55.768 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:55.991 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:56.214 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:56.434 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:56.653 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:56.872 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:57.089 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:57.309 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:57.526 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:57.742 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:57.962 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:58.182 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:58.398 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:58.616 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:58.850 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:59.069 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:59.288 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:59.521 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:59.738 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:35:59.960 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:00.178 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:00.396 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
16:36:00.613 [SDK回调] type=0x00, machineID=0, channelID=0, dataCount=200, bufferCount=12800
